order,column_name,data_type,required,stage,description,synthetic_example
1,Sector,string,conditional,clean with metadata,High-level sector,
2,Industry,string,conditional,clean with metadata,Industry classification,
3,Subindustry,string,conditional,clean with metadata,Detailed activity group,
4,CompanyName,string,conditional,clean with metadata,Display name,
5,CompanyNameOfficial,string,conditional,clean with metadata,Official legal name,
6,INN,string,conditional,clean with metadata,Taxpayer identifier used for matching,
7,RegionRegistration,string,conditional,clean with metadata,Legal registration region,
8,RegionHeadOffice,string,conditional,clean with metadata,Head-office region,
9,RegionOperation,string,conditional,clean with metadata,Operating geography,
10,Description,string,conditional,clean with metadata,Source-stage factual description,
11,URL,string,conditional,clean with metadata,Company or evidence URL,
12,Source,string,conditional,clean with metadata,Source attribution,
13,record_id,string,yes,clean with metadata,Stable row identifier,
14,source_file,string,yes,clean with metadata,Originating source filename,
15,source_row_no,string,yes,clean with metadata,Logical source record number,
16,physical_line,string,conditional,clean with metadata,First physical line of the logical record,
17,parse_status,string,yes,clean with metadata,Clean or repaired parsing status,
18,parse_reason,string,conditional,clean with metadata,Parser and repair reason,
19,raw_line,string,conditional,clean with metadata,Preserved source record text,
